CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
10001,NULL,3.06085,267.542,4926.77,4540.42,3842.12,3417.32,1084.65,1123.08,10.1423,9.4949
10002,NULL,3.18321,21.0699,5112.13,3961.14,3872.25,2769.51,1239.86,1191.63,10.8724,9.40749
10005,10006,0.859915,35.0447,5226.08,4941.68,3935.4,3666.78,1290.68,1274.89,10.757,10.6925
10006,NULL,1.02469,27.649,5267.17,5047.47,3964.44,3758.71,1302.74,1288.76,10.9567,10.762
10009,NULL,1.53393,11.3826,5144.65,4780.55,4007.86,3649.22,1136.78,1131.34,10.7267,10.557
10010,10009,1.07933,17.8388,5139.08,4858.56,3866.22,3588.46,1272.86,1270.1,10.1188,10.5174
10014,NULL,0.509124,10.7623,5341.44,4843.25,3985.98,3496.11,1355.45,1347.14,11.6862,11.5588
10022,NULL,3.58439,29.1103,4727.81,4058.86,3546.1,2933.89,1181.7,1124.97,8.32477,8.37234
10024,10027,1.06346,26.5504,5151.59,4395.28,3895.91,3202.88,1255.69,1192.39,9.42263,9.44905
10025,10026,2.76617,74.1464,4882.39,3788.61,3690.48,2639.62,1191.9,1148.99,8.5249,7.51041
10026,10024,8.44626,49.0969,5119.13,4734.59,3870.62,3522.52,1248.51,1212.06,9.26568,9.15438
10027,10023,0.653054,5.01982,4976.38,4129.9,3718.92,2968.8,1257.47,1161.09,9.20171,8.6301
10028,10027,0.700061,25.0235,5164.34,5104.61,3961.24,3915.88,1203.11,1188.74,9.48996,9.47457
10037,10039,6.53374,242.104,4565.42,3913.13,3502.32,2830.78,1063.1,1082.35,7.3509,7.70987
10039,NULL,2.01701,51.9034,4872.9,4093.18,3826.74,3081.76,1046.15,1011.42,8.3225,8.22543
10042,NULL,0.93252,41.0742,3921,4434.48,2938.65,3335.21,982.346,1099.28,6.12523,8.46735
10043,10042,1.84884,453.852,4048.43,4228.19,3040.97,3084.66,1007.47,1143.52,6.28142,8.35248
10044,10052,0.940868,15.1787,5103.21,5136.42,3924.49,3981.48,1178.72,1154.95,9.54855,9.62176
